,,,,,,,,Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Revenue Share %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spend Share %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monthly Growth Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monthly Growth Spends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth Gap (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CQGR% (Revenue),,,,12-M CMGR%,6-M CMGR%,YoY Quarter Growth,2024 - 2025,,,2025 - 2026,,,2026 - 2027,,,2027 - 2028,,,Seasonal Influence,,,,,,,,,,,
FACE SERUM TOTAL,FACE SERUM,ZEPTO,QUICK COMMERCE,Tanu,New,Sep'26,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80933,138234,161664,177607,195543,278974,313404,296854,318073,343519,371133,391545,427567,470324,526763,563636,603091,639276,677633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26237,38162,44630,49032,53983,77016,86521,78310,83907,90620,97904,103289,112791,124071,138959,148686,159094,168640,178758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,5%,5%,5%,5%,7%,7%,7%,7%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%,5%,6%,6%,6%,8%,8%,8%,8%,8%,8%,8%,9%,9%,9%,9%,9%,9%,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71%,17%,10%,10%,43%,12%,-5%,7%,8%,8%,5%,9%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,,,,,45%,17%,10%,10%,43%,12%,-9%,7%,8%,8%,6%,9%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1346359,3151684,,5629414,7680000,,,,,,,,,,,,,
FACE SERUM TOTAL,FACE SERUM,RETAIL,Retail,Tanu,New,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACE SERUM TOTAL,FACE SERUM,Bigbasket,QUICK COMMERCE,Tanu,New,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACE SERUM TOTAL,FACE SERUM,Firstcry,ECOMMERCE,Tanu,New,Sep'26,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80933,92156,107776,118405,130362,139487,156702,148427,159037,171760,92783,97886,106892,117581,131691,140909,150773,159819,169408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11627,13239,15483,17010,18728,20039,22512,20264,21713,23450,12667,13364,14593,16053,17979,19238,20584,21819,23128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,3%,3%,3%,4%,4%,4%,4%,4%,4%,2%,2%,2%,2%,2%,2%,2%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,1%,1%,1%,1%,1%,1%,1%,1%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14%,17%,10%,10%,7%,12%,-5%,7%,8%,-46%,5%,9%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825821,1706204,,1646966,1920000,,,,,,,,,,,,,
FACE SERUM TOTAL,FACE SERUM,OTHERS,OTHERS,Tanu,New,Sep'26,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80933,92156,107776,118405,130362,139487,156702,148427,159037,171760,185566,195773,213784,235162,263381,281818,301545,319638,338816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11627,13239,15483,17010,18728,20039,22512,20264,21713,23450,25334,26728,29187,32106,35958,38475,41168,43639,46257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,3%,3%,3%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14%,17%,10%,10%,7%,12%,-5%,7%,8%,8%,6%,9%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825821,1706204,,2814707,3839996,,,,,,,,,,,,,
FACE SERUM TOTAL,FACE SERUM,TOTAL,TOTAL,Tanu,New,Jul'26,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2196930,2328745,2468470,2764687,3179392,3433740,3715310,3975382,4309311,4081739,4293990,4551630,4824726,5090087,5344591,5879050,6584538,7045453,7538637,7990953,8470411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135984,690970,660324,726878,797187,864246,919501,997962,1067336,1000115,1032544,1090751,1165761,1229879,1278380,1399418,1566416,1676063,1793387,1900993,2015051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6%,6%,12%,15%,8%,8%,7%,8%,-5%,5%,6%,6%,6%,5%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,28371967,48000012,48000000,71695805,96000004,96000000,0,0,0,0,,,,,,,,
FACE GEL TOTAL,Total Gel Moisturizers,D2C,D2C,Tanu,Existing,Jan'24,Yes,824945,894500,1090866,1137024,2005915,1780933,2086964,1944623,1759200,1683981,1766881,1635027,1249108,1900156,2521109,3615609,3133448,2074167,1501765,1417646,1242662,1201873,1099649,1011066,858290,840746,1180377,1467456,886247,961578,1044274,1106930,1173346,1314148,1511270,1632172,1766010,1889630,2048359,2425233,2551345,2704426,2866691,3024359,3175577,3493135,3912311,4186173,4479205,4747958,5032835,255145,337598,440190,494275,723753,829781,567902,970299,919576,532396,558734,661228,758568,497066,1091943,1393396,1475602,943941,1008518,124382,401091,268941,263808,167805,197537,305972,390939,653979,150896,160381,174174,184373,186460,202938,209528,231809,235664,258627,268641,255837,247609,268431,291154,307167,300674,330742,351910,376543,402901,427075,452700,82%,78%,79%,83%,86%,86%,87%,87%,83%,82%,83%,82%,77%,80%,78%,99%,99%,74%,67%,67%,59%,64%,57%,61%,57%,44%,58%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,78%,87%,91%,94%,92%,93%,90%,98%,97%,96%,94%,87%,96%,81%,86%,90%,90%,80%,84%,37%,71%,55%,61%,57%,57%,66%,82%,96%,60%,60%,60%,59%,58%,57%,55%,56%,53%,54%,52%,44%,41%,42%,43%,43%,40%,40%,38%,38%,38%,38%,38%,3.2,2.6,2.5,2.3,2.8,2.1,3.7,2.0,1.9,3.2,3.2,2.5,1.6,3.8,2.3,2.6,2.1,2.2,1.5,11.4,3.1,4.5,4.2,6.0,4.3,2.7,3.0,2.2,-24%,52%,33%,43%,-13%,-34%,-28%,-6%,-12%,-3%,-9%,-8%,-15%,-2%,40%,24%,-40%,9%,9%,6%,6%,12%,15%,8%,8%,7%,8%,18%,5%,6%,6%,5%,5%,10%,12%,7%,7%,6%,6%,15%,-34%,120%,28%,6%,-36%,7%,-88%,222%,-33%,-2%,-36%,18%,55%,28%,67%,-77%,6%,9%,6%,1%,9%,3%,11%,2%,10%,4%,-5%,-3%,8%,8%,5%,-2%,10%,6%,7%,7%,6%,6%,-87%,87%,-16%,19%,-2%,34%,-82%,235%,-30%,7%,-28%,33%,57%,-13%,43%,-37%,-2%,0%,0%,-5%,-3%,-12%,3%,-7%,3%,-5%,-23%,-8%,2%,2%,0%,-7%,0%,-6%,0%,0%,0%,0%,29%,-41%,-18%,56%,-6%,0%,-49%,21470917,22681488,,19177298,14164524,,16801420,22815996,,42599248,57039992,,,,,,,,,,,,,
FACE GEL TOTAL,Total Gel Moisturizers,NYKAA,ECOMMERCE,Tanu,Existing,Jan'24,Yes,55724,80406,82660,80679,114325,88945,111429,104991,106095,107661,143078,115104,120905,182193,208138,,,,,240778,239356,,288446,251825,208669,298865,287963,275236,166224,180354,195864,207616,220073,246482,283454,306130,331233,354419,384190,454877,478530,507242,537677,567249,595611,655172,733793,785158,840120,890527,943958,,,,,,,,,,,,,,,,22834.5,32506.5,15408.5,48309.5,39468,35453,34476,70614,43011,40355,53409,36501,7623,10162,11475,12462,12312,13341,15637,18411,20369,22590,21249,24280,23122,24865,26956,29238,30846,28307,31138,34874,37315,39927,42323,44862,6%,7%,6%,6%,5%,4%,5%,5%,5%,5%,7%,6%,7%,8%,6%,0%,0%,0%,0%,11%,11%,0%,15%,15%,14%,16%,14%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,2%,1%,4%,12%,6%,7%,16%,15%,12%,11%,8%,1%,4%,4%,4%,4%,4%,4%,5%,5%,5%,4%,5%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,,,,,,,,,,,,,,,,,,,,6.1,6.8,,4.1,5.9,5.2,5.6,7.9,36.1,5%,51%,14%,,,,,,-1%,,,-13%,-17%,43%,-4%,-4%,-40%,9%,9%,6%,6%,12%,15%,8%,8%,7%,8%,18%,5%,6%,6%,5%,5%,10%,12%,7%,7%,6%,6%,,,,,42%,-53%,214%,-18%,-10%,-3%,105%,-39%,-6%,32%,-32%,-79%,33%,13%,9%,-1%,8%,17%,18%,11%,11%,-6%,14%,-5%,8%,8%,8%,5%,-8%,10%,12%,7%,7%,6%,6%,,,,,,,,-10%,,,-26%,11%,-11%,-28%,-75%,73%,4%,0%,-7%,2%,5%,3%,3%,3%,-13%,6%,-23%,2%,2%,2%,0%,-13%,0%,0%,0%,0%,0%,0%,,,,-53%,3%,,56%,1483542,2044942,,1815902,3455556,,3151275,4279368,,7989914,10698420,,,,,,,,,,,,,
FACE GEL TOTAL,Total Gel Moisturizers,AMAZON,ECOMMERCE,Tanu,Existing,Jan'24,Yes,110948,139854,189715,128519,171213,149076,154299,149048,192057,178042,147287,177573,199315,222624,382763,,,,,347157,499144,328346,294094,277240,303984,561571,400215,493127,297816,323131,350920,371975,394294,441609,507850,548478,593454,634995,688335,814980,857359,908801,963329,1016312,1067128,1173840,1314701,1406730,1505202,1595514,1691244,48500,43000,40500,31500,61784.5,64222.5,64000,22548,28561,21143,25291,21859,29750,113747.5,121586.5,127945.5,123173,217776,117805.5,156086,110653,173043,84186,76226,101534,92309,26239,16295,63514,67741,73567,78180,84712,93085,104117,107509,119233,130851,138830,132213,142179,142279,154323,162811,179290,197219,238741,255452,273334,289734,307118,11%,12%,14%,9%,7%,7%,6%,7%,9%,9%,7%,9%,12%,9%,12%,0%,0%,0%,0%,16%,24%,17%,15%,17%,20%,29%,20%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,15%,11%,8%,6%,8%,7%,10%,2%,3%,4%,4%,3%,4%,18%,10%,8%,8%,18%,10%,46%,20%,35%,19%,26%,29%,20%,6%,2%,25%,25%,25%,25%,26%,26%,27%,26%,27%,27%,27%,23%,24%,22%,23%,23%,24%,24%,26%,26%,26%,26%,26%,2.3,3.3,4.7,4.1,2.8,2.3,2.4,6.6,6.7,8.4,5.8,8.1,6.7,2.0,3.1,,,,,2.2,4.5,1.9,3.5,3.6,3.0,6.1,15.3,30.3,12%,12%,72%,,,,,,44%,-34%,-10%,-6%,10%,85%,-29%,23%,-40%,9%,9%,6%,6%,12%,15%,8%,8%,7%,8%,18%,5%,6%,6%,5%,5%,10%,12%,7%,7%,6%,6%,36%,282%,7%,5%,-4%,77%,-46%,32%,-29%,56%,-51%,-9%,33%,-9%,-72%,-38%,290%,7%,9%,6%,8%,10%,12%,3%,11%,10%,6%,-5%,8%,0%,8%,6%,10%,10%,21%,7%,7%,6%,6%,271%,-65%,,,,,,-73%,91%,-41%,-4%,24%,-94%,-43%,-61%,329%,-2%,0%,0%,2%,-2%,-3%,-5%,3%,3%,-2%,-23%,2%,-6%,2%,0%,5%,0%,9%,0%,0%,0%,0%,,,,-69%,0%,3%,57%,2251814,3218804,,3011751,4802580,,5645984,7667136,,14315140,19167840,,,,,,,,,,,,,
FACE GEL TOTAL,Total Gel Moisturizers,FLIPKART,ECOMMERCE,Tanu,Existing,Jan'24,Yes,11305,13592,9938,14481,18665,14725,13948,14725,18836,25451,14956,11964,21607,22946,28259,,,,,13916,27521,25342,19999,50146,27581,42805,68526,41602,25125,27260,29605,31381,33264,37256,42844,46272,50066,53571,58070,68755,72330,76670,81270,85740,90027,99029,110913,118677,126984,134603,142680,25000,6000,3000,,,,,,40,,,,,2002,,,585,2935,3786,,,,6,,,,3274,2530,13587,15344,16664,18816,20388,23896,28135,31127,34522,37885,43287,41224,44332,48059,52128,54995,57533,63287,70881,75843,81152,86021,91182,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,0%,0%,0%,0%,1%,1%,1%,1%,3%,2%,2%,3%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,8%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,5%,6%,6%,6%,6%,7%,7%,7%,8%,8%,8%,7%,7%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,0.5,2.3,3.3,,,,,,470.9,,,,,11.5,,,,,,,,,3333.2,,,,20.9,16.4,81%,6%,23%,,,,,,98%,-8%,-21%,151%,-45%,55%,60%,-39%,-40%,8%,9%,6%,6%,12%,15%,8%,8%,7%,8%,18%,5%,6%,6%,6%,5%,10%,12%,7%,7%,6%,6%,,,,,,402%,29%,,,,,,,,,-23%,437%,13%,9%,13%,8%,17%,18%,11%,11%,10%,14%,-5%,8%,8%,8%,5%,5%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,17%,477%,4%,0%,7%,2%,5%,3%,3%,3%,3%,6%,-23%,2%,2%,2%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,8%,18%,91%,220560,291244,,275836,822312,,476316,646828,,1207678,1617068,,,,,,,,,,,,,
FACE GEL TOTAL,Total Gel Moisturizers,MYNTRA,ECOMMERCE,Tanu,Existing,Jan'25,Yes,,,,,,,,,,,,,25829,,,,,,,53569,42248,36764,27705,38828,38290,33268,39401,44317,26765,29040,31537,33429,35435,39687,45640,49291,53333,57067,61860,73242,77050,81673,86574,91335,95902,105492,118151,126422,135271,143388,151991,,,,,,,,,,3397,13341.5,9234.5,,3888,5992,6928,5812,7042,23560,15868,15997,16924,13377,6707,9717,13410,18591,8,1844,2083,2262,2554,2767,3243,3819,4225,4686,5142,5875,5595,6017,6523,7075,7464,8220,9042,10127,10836,11594,12290,13027,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,3%,2%,2%,1%,2%,3%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,2%,1%,0%,1%,0%,0%,0%,1%,2%,5%,3%,3%,3%,2%,3%,3%,4%,0%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,,,,,,,,,,,,,,,,,,,,3.4,2.6,2.2,2.1,5.8,3.9,2.5,2.1,5539.6,,,,,,,,,-21%,-13%,-25%,40%,-1%,-13%,18%,12%,-40%,8%,9%,6%,6%,12%,15%,8%,8%,7%,8%,18%,5%,6%,6%,5%,5%,10%,12%,7%,7%,6%,6%,,,54%,16%,-16%,21%,235%,-33%,1%,6%,-21%,-50%,45%,38%,39%,-100%,22950%,13%,9%,13%,8%,17%,18%,11%,11%,10%,14%,-5%,8%,8%,8%,5%,10%,10%,12%,7%,7%,6%,6%,,,,,,,,22%,19%,4%,-90%,46%,51%,20%,-112%,22990%,4%,0%,7%,2%,5%,3%,3%,3%,3%,6%,-23%,2%,2%,2%,0%,5%,0%,0%,0%,0%,0%,0%,,,,-98%,,1%,330%,25829,103316,,310073,472812,,507401,689040,,1286491,1722600,,,,,,,,,,,,,
FACE GEL TOTAL,Total Gel Moisturizers,BLINKIT,QUICK COMMERCE,Tanu,Existing,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100220,107774,111444,120878,127527,140435,154478,173016,185127,198086,209971,222569,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,17%,18%,17%,18%,18%,19%,19%,19%,19%,19%,19%,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8%,3%,8%,6%,10%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACE GEL TOTAL,Total Gel Moisturizers,INSTAMART,QUICK COMMERCE,Tanu,Existing,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACE GEL TOTAL,Total Gel Moisturizers,ZEPTO,QUICK COMMERCE,Tanu,Existing,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACE GEL TOTAL,Total Gel Moisturizers,RETAIL,Retail,Tanu,Existing,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACE GEL TOTAL,Total Gel Moisturizers,Bigbasket,QUICK COMMERCE,Tanu,Existing,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACE GEL TOTAL,Total Gel Moisturizers,Firstcry,ECOMMERCE,Tanu,Existing,Jan'25,Yes,,,,,,,,,,,,,8972,,,25750,19896,14079,27269,43114,50358,39822,48461,25687,41898,28815,44261,49533,29915,32457,35249,37364,39606,44358,51012,55093,59610,63783,69141,81862,86119,91286,96763,102085,107189,117908,132057,141301,151193,160264,169880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4932,5570,6049,6830,7401,8674,10213,11299,12531,13752,15713,14221,15293,16579,8991,9486,10446,11490,12869,13770,14734,15618,16555,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,1%,1%,0%,1%,2%,2%,2%,3%,2%,3%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,2%,2%,2%,2%,2%,3%,3%,3%,3%,3%,2%,3%,3%,1%,1%,1%,1%,1%,1%,1%,1%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23%,-29%,94%,58%,17%,-21%,22%,-47%,63%,-31%,54%,12%,-40%,8%,9%,6%,6%,12%,15%,8%,8%,7%,8%,18%,5%,6%,6%,6%,5%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,13%,9%,13%,8%,17%,18%,11%,11%,10%,14%,-9%,8%,8%,-46%,6%,10%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,4%,0%,7%,2%,5%,3%,3%,3%,3%,6%,-28%,2%,2%,-52%,0%,5%,0%,0%,0%,0%,0%,0%,25%,40%,-3%,,,2%,1181%,8972,35888,,409411,531137,,567121,770136,,1437907,1925348,,,,,,,,,,,,,
